SYMBOL ,Gene ID,EXP KO,EXP WT,INPUT KO,INPUT WT,Log fold change,FDR
Fmr1,10599893,3.92,6.5,4.08,5.62,0.080551137,1.15E-11
Gm17305,10377537,12.38,12.57,10.45,10.54,0.002890313,1.15E-11
Chd3,10387316,9.8,10.32,7.73,7.76,0.020771394,1.15E-11
2610507B11Rik,10379075,8.46,9.48,7.18,6.95,0.063577614,3.32E-11
Smarca4,10583697,10.29,10.49,9.02,8.88,0.015153685,1.10E-10
Kalrn,10439138,8.6,8.94,6.89,6.98,0.011202867,1.10E-10
Gstp1,10464583,9.13,8.75,10.49,10.62,-0.023811753,1.10E-10
Dst,10345241,9.03,9.49,6.98,7.07,0.016014471,1.10E-10
Bptf,10392318,9.33,9.53,6.82,7,-0.002102408,1.10E-10
Sipa1l1,10397002,8.46,8.93,6.98,6.97,0.02410374,1.10E-10
Ankrd11,10582445,8.78,9.06,7.13,7.19,0.009994321,1.33E-10
Mbd5,10471967,7.58,8.27,6,6.08,0.032083975,1.33E-10
Tmem256,10377605,7.92,7.84,9.27,9.48,-0.014137722,1.33E-10
Sptbn2,10460423,9.07,9.83,7.81,7.71,0.040542887,1.33E-10
Tnrc18,10535342,8.69,9.12,6.85,6.96,0.014056394,1.63E-10
Gm6293,10465043,8.15,8.25,9.82,10.07,-0.005621643,2.30E-10
Kif1a,10356712,10.84,11.2,9.75,9.52,0.024556408,2.91E-10
Chd2; 1810026B05Rik,10564573,7.65,7.69,5.36,5.5,-0.008932995,3.25E-10
Chd9,10573823,8.1,8.25,6.41,6.29,0.016176314,3.26E-10
Supt6,10388786,9.08,9.26,7.48,7.68,-0.002934484,3.26E-10
Amer1,10605811,8.79,8.87,6.97,7.11,-0.004702078,3.57E-10
Gm608,10435832,8.21,9.34,6.77,6.57,0.069027018,3.57E-10
Bdp1,10411552,7.84,8.36,5.7,5.86,0.015867454,3.62E-10
Ppfia3,10563220,7.5,8.23,6.45,6.33,0.048494576,3.62E-10
Mprip,10376534,8.46,8.9,7.09,7.25,0.012327872,3.62E-10
Mark4,10560510,8.03,8.25,6.88,6.89,0.01110762,3.62E-10
Bptf,10392300,8.35,8.56,6.52,6.56,0.008131046,4.79E-10
Ncor2,10533875,7.93,8.28,6.84,6.81,0.020666139,4.79E-10
Uqcrq,10385818,7.88,7.99,9.13,9.35,-0.004320272,4.90E-10
Dgkk,10598251,4.68,7.04,4.38,4.35,0.18031166,4.94E-10
Sfswap,10526014,8.41,8.17,6.13,6.04,-0.006150403,4.94E-10
Myo18a,10378914,7.65,7.92,6.62,6.48,0.02434673,4.96E-10
Gm13202,10518453,8.63,8.65,10.42,10.15,0.012406988,5.50E-10
Chd5,10510725,8.67,8.82,6.98,6.79,0.019435136,5.50E-10
Pnn,10395910,9.44,9.17,7.37,7.49,-0.019616988,5.50E-10
Chchd2,10534096,8.99,9,10.71,10.44,0.01157179,5.50E-10
Fbrs,10557644,8.19,8.22,6.92,6.94,0.00033454,5.50E-10
Aggf1,10411199,7.84,8.44,6.74,6.95,0.018701476,5.50E-10
Atp5g1,10391100,8.9,8.71,10.37,10.4,-0.010626435,5.51E-10
Syne1,10361381,7.01,7.27,5.61,5.49,0.02520691,5.51E-10
Kmt2c,10528723,7.88,8.31,6.01,6.24,0.006764689,5.51E-10
Ryr2,10407598,7.81,8.06,6.24,6.22,0.015078213,5.85E-10
Sptan1,10470834,10.42,10.72,9.13,9.11,0.013279467,5.85E-10
Gm12350,10503915,8.9,8.92,10.65,10.38,0.012127102,6.09E-10
Pde4dip,10500469,8.39,8.83,7.22,7.32,0.016224859,7.23E-10
Cttnbp2,10543273,7.36,7.47,5.8,5.58,0.023236582,8.30E-10
Ddx46,10405511,8.79,8.55,6.38,6.37,-0.011341514,8.86E-10
Mycbp2,10422075,9.25,9.46,7.41,7.57,0.000471732,9.15E-10
Rbm33,10520371,9.22,9.06,7.23,7.21,-0.006399691,9.15E-10
Ank3,10363786,9.74,9.93,8.22,8.2,0.009448257,9.15E-10
Shank1,10552632,7.37,8.12,5.88,5.94,0.037679422,9.34E-10
Fam184a,10369132,6.62,6.62,5.09,5.04,0.004287246,9.34E-10
Ap3d1,10370950,8.98,8.92,7.77,7.62,0.005554565,9.34E-10
Atp5g1,10390237,8.65,8.55,9.98,10.02,-0.006787173,9.34E-10
Tomm5,10512701,6.68,6.29,8.18,8.57,-0.046353335,1.00E-09
